bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,instructions__001,instructions__002,instructions__003,instructions__004,instructions__005,instructions__006,instructions__007,,,,
back,cable,C:\Users\yasmeen\Downloads\back\2.gif,7,alternate lateral pulldown,lats,biceps,rhomboids,,Sit on the cable machine with your back straight and feet flat on the ground.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.","Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.","Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.",Repeat for the desired number of repetitions.,,,,,,
back,body weight,https://v2.exercisedb.io/image/Pi-7Vr7xN-fGHi,3293,archer pull up,lats,biceps,forearms,,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart.",Engage your core and pull your shoulder blades down and back.,"As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight.",Continue pulling until your chin is above the bar and your bent arm is fully flexed.,"Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side.",Alternate sides with each repetition.,,,,,
back,leverage machine,https://v2.exercisedb.io/image/NFGQ-joFvrt9A3,15,assisted parallel close grip pull-up,lats,biceps,forearms,,Adjust the machine to your desired weight and height.,"Place your hands on the parallel bars with a close grip, palms facing each other.",Hang from the bars with your arms fully extended and your feet off the ground.,"Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.",Continue pulling until your chin is above the bars.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,
back,leverage machine,https://v2.exercisedb.io/image/doMaqndfmOvpew,17,assisted pull-up,lats,biceps,forearms,,Adjust the machine to your desired weight and height settings.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.",Hang with your arms fully extended and your feet off the ground.,"Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.",Continue pulling until your chin is above the handles.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,
back,leverage machine,https://v2.exercisedb.io/image/ky1lNSaaveHxdm,1431,assisted standing chin-up,lats,biceps,forearms,,Adjust the machine to your desired assistance level.,"Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart.","Keep your chest up and shoulders back, engage your core, and slightly bend your knees.",Pull your body up by flexing your elbows and driving your elbows down towards your sides.,Continue pulling until your chin is above the bar.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,
back,leverage machine,https://v2.exercisedb.io/image/OLdML--V03DYSx,1432,assisted standing pull-up,lats,biceps,forearms,,Adjust the machine to your desired weight and height settings.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.","Engage your lats and biceps, and pull yourself up towards the handles.","Pause for a moment at the top, squeezing your back muscles.",Slowly lower yourself back down to the starting position.,Repeat for the desired number of repetitions.,,,,
back,stability ball,https://v2.exercisedb.io/image/tjNRwtAwi83eME,1314,back extension on exercise ball,spine,glutes,hamstrings,,"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface.",Position your hands behind your head or crossed over your chest.,"Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,
back,body weight,https://v2.exercisedb.io/image/Z409N5RH0hQKNw,3297,back lever,upper back,biceps,forearms,core,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart.",Engage your core and pull your shoulder blades down and back.,Bend your knees and tuck them towards your chest.,"Slowly lift your legs up, keeping them straight, until your body is parallel to the ground.","Hold this position for a few seconds, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,
back,body weight,https://v2.exercisedb.io/image/hA3FWQ6WxJ7Jhi,1405,back pec stretch,lats,shoulders,chest,,Stand tall with your feet shoulder-width apart.,"Extend your arms straight out in front of you, parallel to the ground.","Cross your arms in front of your body, with your right arm over your left arm.",Interlock your fingers and rotate your palms away from your body.,"Slowly raise your arms up and away from your body, feeling a stretch in your back and chest.","Hold the stretch for 15-30 seconds, then release.",Repeat on the opposite side.,,,,
back,band,https://v2.exercisedb.io/image/XOXWL86OCuPMhQ,970,band assisted pull-up,lats,biceps,forearms,,Attach the band to a pull-up bar or sturdy anchor point.,"Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart.","Hang with your arms fully extended, keeping your core engaged and your shoulders down and back.",Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips.,"Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position.",Repeat for the desired number of repetitions.,,,,,
chest,body weight,https://v2.exercisedb.io/image/LuRBRcTuKi44wu,3294,archer push up,pectorals,triceps,shoulders,core,Start in a push-up position with your hands slightly wider than shoulder-width apart.,"Extend one arm straight out to the side, parallel to the ground.","Lower your body by bending your elbows, keeping your back straight and core engaged.",Push back up to the starting position.,"Repeat on the other side, extending the opposite arm out to the side.",Continue alternating sides for the desired number of repetitions.,,,,,
chest,leverage machine,https://v2.exercisedb.io/image/5dx5GVaAGC7CNb,9,assisted chest dip (kneeling),pectorals,triceps,shoulders,,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with your palms facing down and your arms fully extended.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,"Pause for a moment, then push yourself back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,
chest,assisted,https://v2.exercisedb.io/image/tnOzxhmVIBvpZ0,1716,assisted seated pectoralis major stretch with stability ball,pectorals,shoulders,triceps,,Sit on a stability ball with your feet flat on the ground and your back straight.,Hold a stability ball with both hands and extend your arms straight out in front of you.,"Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles.","Hold the stretch for a few seconds, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,
